                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0929,                 1.2449,                0.93193,                 0.0377,                0.41667,                0.25004,                0.14827,                 1.4405,                 2.8786,                 1.0066,               0.066226,             0.00022556,             0.00022556
                     36,                 1.1241,                 1.3947,                0.89935,                 0.0377,                0.41667,                0.25004,                0.14827,                 1.4405,                 2.8786,                 1.0066,               0.065229,             0.00022873,             0.00022873
                     37,                 1.0387,                 1.3746,                0.89403,                0.03556,                0.41667,                0.26001,                  0.147,                 1.4946,                 2.8397,                 1.0354,               0.064232,              0.0002317,              0.0002317
                     38,                 1.0666,                 1.4829,                0.90496,                0.03556,                0.41667,                0.26001,                  0.147,                 1.4946,                 2.8397,                 1.0354,               0.063234,             0.00023447,             0.00023447
                     39,                 1.2306,                 1.5239,                0.89977,                0.03534,                0.41667,                 0.2655,                0.13801,                 1.6077,                 2.8087,                 1.0803,               0.062237,             0.00023704,             0.00023704
                     40,                 1.3562,                 1.4111,                 1.1365,                0.03534,                0.41667,                 0.2655,                0.13801,                 1.6077,                 2.8087,                 1.0803,               0.061239,             0.00023942,             0.00023942
                     41,                  1.361,                 1.3696,                 1.0807,                0.03495,                0.41667,                0.26906,                0.13373,                 1.6465,                 2.7252,                 1.1076,               0.060242,              0.0002416,              0.0002416
                     42,                 1.1573,                 1.1871,                 0.9467,                0.03495,                0.41667,                0.26906,                0.13373,                 1.6465,                 2.7252,                 1.1076,               0.059244,             0.00024358,             0.00024358
                     43,                 1.1454,                 1.3297,                0.93534,                0.03776,                0.45833,                0.27575,                0.14068,                 1.6197,                 2.6425,                 1.1002,               0.058245,             0.00024536,             0.00024536
                     44,                 1.1024,                 1.3344,                0.91171,                0.03776,                0.45833,                0.27575,                0.14068,                 1.6197,                 2.6425,                 1.1002,               0.057247,             0.00024695,             0.00024695
                     45,                 1.1017,                 1.1486,                0.91091,                0.74324,                   0.25,                0.28479,                0.15873,                 1.5511,                 2.5375,                 1.0693,               0.056248,             0.00024834,             0.00024834
                     46,                 1.0426,                  1.247,                0.96506,                0.74324,                   0.25,                0.28479,                0.15873,                 1.5511,                 2.5375,                 1.0693,                0.05525,             0.00024952,             0.00024952
                     47,                 1.0614,                 1.2453,                0.92456,                   0.75,                0.24421,                0.31935,                0.18758,                 1.4429,                  2.421,                 1.0241,               0.054251,             0.00025052,             0.00025052
